cap_rounds,base_bet,avg_peak_profit,avg_bust_round,bust_rate
10,5,24.905,8.409876543209876,0.02025
10,10,49.474,7.654774396642183,0.04765
10,20,97.107,7.14875283446712,0.11025
15,5,37.0305,10.57994923857868,0.0394
15,10,72.5555,10.033062330623306,0.09225
15,20,139.621,9.366437414030262,0.18175
20,5,48.79125,12.886212624584717,0.0602
20,10,95.4375,12.53529900332226,0.1204
20,20,179.079,11.729825949367088,0.2528
25,5,60.66975,15.640594699418228,0.07735
25,10,116.928,14.83418043202033,0.1574
25,20,216.362,13.844872632266492,0.3062
30,5,72.173,17.889630390143736,0.0974
30,10,137.5615,17.052207792207792,0.1925
30,20,249.51,15.610628294628864,0.35095
35,5,83.1875,20.317886530965787,0.11545
35,10,157.258,19.363676731793962,0.2252
35,20,281.779,16.63883702320619,0.3749
40,5,94.30125,22.528221097703387,0.12845
40,10,176.3465,21.66259842519685,0.254
40,20,313.032,18.1940748179764,0.3983
45,5,104.959,25.13953488372093,0.1505
45,10,195.297,24.04451815642458,0.2864
45,20,341.713,19.479599056603774,0.424
50,5,115.63925,27.349154553544942,0.16855
50,10,212.3245,25.941232832960715,0.3131
50,20,369.267,21.033900188951872,0.44985
55,5,126.16125,29.86692435118719,0.1811
55,10,230.106,27.742658189524676,0.3303
55,20,396.395,22.42164456233422,0.47125
60,5,135.78975,31.97581047381546,0.2005
60,10,245.0555,29.47658746700014,0.35985
60,20,422.257,23.984845402766478,0.4916
65,5,146.6465,34.42696090189494,0.20845
65,10,262.9345,30.997396546999177,0.3649
65,20,447.218,25.544745564437513,0.5129
70,5,155.748,36.6880694143167,0.2305
70,10,277.0465,32.067396688828055,0.38355
70,20,472.06,27.066930245693307,0.53115
75,5,165.27775,38.787121673776156,0.24615
75,10,293.94,33.53610755441741,0.3905
75,20,494.549,28.825336586247403,0.55335
80,5,175.955,42.232530827950676,0.25545
80,10,308.11,34.575185185185184,0.405
80,20,517.799,30.148629531388153,0.5655
85,5,184.21725,43.300478116954764,0.2719
85,10,323.791,35.810866408518876,0.4132
85,20,540.709,32.008398320335935,0.58345
90,5,194.17775,46.15216625572385,0.2839
90,10,337.6145,37.16835294117647,0.425
90,20,560.462,33.73666722046852,0.6019
95,5,200.9005,47.72280130293159,0.307
95,10,351.936,38.47923835742143,0.4359
95,20,577.437,35.03377670294236,0.62025
100,5,210.49125,50.11483707687441,0.3161
100,10,364.693,39.82119426220394,0.44965
100,20,600.446,36.62360396039604,0.63125
105,5,218.5355,52.00571256764883,0.3326
105,10,376.659,41.543237726930926,0.46545
105,20,614.941,37.59069083023544,0.6456
110,5,228.13675,54.08489165924607,0.3369
110,10,391.604,43.075005282062115,0.4733
110,20,632.002,39.64363581685588,0.66505
115,5,234.91,55.93242099322799,0.3544
115,10,404.6655,44.21874027186884,0.48185
115,20,652.966,41.20801484230056,0.67375
120,5,242.46675,56.48380427291523,0.36275
120,10,417.2295,46.18866020984665,0.4956
120,20,664.977,42.70325467272858,0.69285
125,5,252.324,58.360574268360025,0.3622
125,10,431.2125,47.93017928286853,0.502
125,20,685.662,44.464948600799545,0.7004
130,5,258.92475,58.73783675110575,0.37305
130,10,444.0705,49.03240377062058,0.5092
130,20,692.92,45.7385929578443,0.71995
135,5,268.3115,60.38508983641727,0.3729
135,10,452.895,50.643033643793956,0.5261
135,20,711.559,46.990359454620574,0.7261
140,5,273.737,61.68283582089552,0.3886
140,10,468.154,52.078723001136794,0.5278
140,20,722.207,47.805221293085864,0.73545
145,5,281.834,63.325578454924766,0.39545
145,10,477.3115,54.12503437528646,0.54545
145,20,731.167,48.92272727272727,0.748
150,5,291.643,64.7619657025851,0.3907
150,10,490.8775,56.39839234104046,0.5536
150,20,745.522,50.46635914332784,0.75875
